Subject,Type,ApEn.copx.IMF1,ApEn.copx.IMF2,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copx.IMF5,ApEn.copy,ApEn.copy.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,ApEn.copy.IMF6,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF2,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copx.IMF5,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,SampEn.copy.IMF4,SampEn.copy.IMF5,SampEn.copy.IMF6,MF.copx.IMF1,MF.copx.IMF2,MF.copx.IMF3,MF.copx.IMF4,MF.copx.IMF5,MF.copy.IMF2,MF.copy.IMF4,MF.copy.IMF5
4,Fall,0.399606835,0.131473946,0.098565857,0.057040699,0.033087084,0.069186357,0.099839026,0.058383603,0.027640972,0.014625963,0.581018297,0.280264704,0.088055309,0.091736047,0.054764244,0.028703431,0.516694107,0.373185759,0.043986718,0.058312991,0.028420137,0.013830355,1.533333333,0.466666667,0.416666667,0.266666667,0.183333333,0.45,0.3,0.15
4,Fall,0.547682556,0.340813364,0.098368162,0.060734757,0.034681227,0.046845297,0.143411945,0.052423599,0.025121875,0.018097418,0.606928589,0.468803728,0.279223044,0.086170025,0.061437319,0.034546596,0.571300814,0.5785379,0.056571886,0.049006005,0.01953765,0.01740318,2.1,1.15,0.433333333,0.3,0.183333333,0.683333333,0.233333333,0.116666667
4,Fall,0.497976802,0.301694858,0.083397722,0.035951451,0.015158411,0.073630736,0.151817,0.065331312,0.033255325,0.012729748,0.582070293,0.392601763,0.226200441,0.075456563,0.032601694,0.015238349,0.54848284,0.591334239,0.068744706,0.066574465,0.030262356,0.011130503,1.416666667,1.05,0.383333333,0.183333333,0.066666667,0.583333333,0.3,0.166666667
49,Fall,0.461704748,0.237689964,0.09993766,0.049964415,0.017657343,0.097377641,0.251357073,0.053743112,0.026257048,0.012861725,0.568870642,0.28523579,0.216638055,0.092808048,0.05022423,0.01984611,0.45662958,0.093001689,0.229696092,0.054990339,0.024996813,0.012795193,1.716666667,0.85,0.45,0.216666667,0.083333333,0.866666667,0.25,0.133333333
49,Fall,0.448819733,0.326922107,0.128309681,0.050795859,0.033202061,0.093145508,0.289133501,0.056644542,0.026915907,0.013204618,0.568500812,0.267631677,0.304837411,0.126054738,0.051358563,0.034089664,0.407248653,0.130978076,0.251506308,0.056423042,0.025153643,0.011729262,1.766666667,1.116666667,0.5,0.216666667,0.166666667,1.016666667,0.283333333,0.133333333
49,Fall,0.370186464,0.278119401,0.103992257,0.060633807,0.032936569,0.088042006,0.279699605,0.055077165,0.031515608,0.016843683,0.517680948,0.190277616,0.256134296,0.099414814,0.062496731,0.034117497,0.296382182,0.249391107,0.20915678,0.055055489,0.032180867,0.016476389,1.566666667,0.966666667,0.45,0.3,0.166666667,1.016666667,0.283333333,0.15
51,Fall,0.314163401,0.26162732,0.126648273,0.06350104,0.021553246,0.075113826,0.319050313,0.067977347,0.029027076,0.016477724,0.441477865,0.125879085,0.198293077,0.122175483,0.062311891,0.02017827,0.293724107,0.534694186,0.202687319,0.061730833,0.029243936,0.013958823,1.483333333,0.9,0.533333333,0.316666667,0.116666667,1.166666667,0.3,0.133333333
51,Fall,0.391873385,0.26320716,0.103928338,0.05890421,0.02346678,0.085294375,0.241663607,0.060999099,0.022851476,0.009016356,0.552359326,0.212853918,0.207640343,0.096404136,0.057273052,0.02308543,0.425770404,0.17698498,0.142928451,0.059466175,0.022675971,0.009020834,1.466666667,0.966666667,0.466666667,0.3,0.116666667,0.916666667,0.3,0.116666667
51,Fall,0.382579471,0.262600884,0.084685342,0.035541075,0.025694133,0.067647362,0.202533511,0.046342554,0.022770201,0.005031142,0.51997859,0.190537908,0.220708871,0.075829614,0.033440518,0.024525432,0.445637483,0.346720904,0.127619494,0.046528776,0.022569104,0.004600943,1.616666667,0.95,0.366666667,0.15,0.133333333,0.733333333,0.216666667,0.116666667
52,Fall,0.36052952,0.360880352,0.141780377,0.059011346,0.031657892,0.052908,0.38589314,0.065698938,0.030843144,0.015251467,0.574180101,0.234836907,0.297711514,0.128593906,0.059358493,0.032994172,0.44749965,0.606834708,0.297457536,0.0660782,0.030690009,0.014917751,1.633333333,1.183333333,0.583333333,0.266666667,0.166666667,1.183333333,0.3,0.15
