Subject,Type,ApEn.copy.IMF3,SampEn.copy,SampEn.copy.IMF2,MF.copx.IMF3
4,Fall,0.076145513,0.301813617,0.235960978,0.266666667
4,Fall,0.066544124,0.330966228,0.196233978,0.25
4,Fall,0.069977705,0.460935463,0.137778492,0.333333333
49,Fall,0.096686951,0.473467983,0.172011448,0.433333333
49,Fall,0.090902978,0.407102667,0.175249885,0.35
49,Fall,0.079562031,0.467505365,0.194713958,0.366666667
51,Fall,0.102618999,0.367643159,0.165887613,0.45
51,Fall,0.108874727,0.251139771,0.183012232,0.366666667
51,Fall,0.086316393,0.292630051,0.174097284,0.383333333
52,Fall,0.085544317,0.216742401,0.109064789,0.35
52,Fall,0.086311768,0.333018824,0.111200929,0.333333333
52,Fall,0.068119475,0.247328495,0.12013462,0.366666667
56,Fall,0.085107655,0.547708981,0.163619199,0.4
56,Fall,0.099998144,0.448446644,0.158226896,0.3
56,Fall,0.111462864,0.442197158,0.179034717,0.416666667
64,Fall,0.125744551,0.3615583,0.12860037,0.6
64,Fall,0.147876,0.335338824,0.146639765,0.6
64,Fall,0.085144414,0.358078178,0.125565568,0.616666667
72,Fall,0.111535699,0.551860133,0.195594256,0.333333333
72,Fall,0.10194525,0.484039351,0.149007288,0.4
72,Fall,0.081229997,0.468265717,0.162115416,0.45
75,Fall,0.098758442,0.327323484,0.17612273,0.316666667
75,Fall,0.08826584,0.270796552,0.197819625,0.316666667
75,Fall,0.109778943,0.332829662,0.146943128,0.416666667
78,Fall,0.078857197,0.368965079,0.211743823,0.483333333
78,Fall,0.070122467,0.30965853,0.147586208,0.466666667
78,Fall,0.155404809,0.194709556,0.320618214,0.466666667
79,Fall,0.103622585,0.526332101,0.129686099,0.433333333
79,Fall,0.101882971,0.423179601,0.106877041,0.366666667
79,Fall,0.103628581,0.467277842,0.167236326,0.366666667
81,Fall,0.06789321,0.371489288,0.07286985,0.35
81,Fall,0.065039314,0.415194807,0.06709751,0.366666667
81,Fall,0.077672979,0.367902699,0.058273896,0.383333333
82,Fall,0.081807128,0.381316465,0.065816001,0.333333333
82,Fall,0.081807128,0.381316465,0.065816001,0.333333333
82,Fall,0.062241316,0.430446114,0.117289363,0.383333333
85,Fall,0.10399731,0.384259966,0.147023187,0.5
85,Fall,0.080254674,0.391455744,0.245045942,0.433333333
85,Fall,0.097033844,0.40762833,0.173570356,0.516666667
92,Fall,0.09239934,0.431814465,0.174938115,0.5
92,Fall,0.088746051,0.472747058,0.202962153,0.5
92,Fall,0.089836211,0.326882222,0.195462622,0.516666667
95,Fall,0.084937438,0.477306497,0.168431842,0.466666667
95,Fall,0.076354087,0.469102506,0.11852881,0.416666667
95,Fall,0.099537461,0.418063486,0.161445456,0.416666667
100,Fall,0.078888286,0.448093953,0.109617617,0.3
100,Fall,0.090156419,0.269072244,0.137256137,0.4
100,Fall,0.086083494,0.343149493,0.133492968,0.35
102,Fall,0.113883831,0.460823875,0.201750242,0.533333333
102,Fall,0.107150564,0.400668851,0.242784903,0.5
102,Fall,0.110845664,0.391882375,0.156773299,0.566666667
105,Fall,0.070777005,0.369783419,0.171024144,0.366666667
105,Fall,0.082892907,0.526223616,0.146160436,0.4
105,Fall,0.092220008,0.473433105,0.17623707,0.3
108,Fall,0.118002852,0.328199658,0.129910288,0.45
108,Fall,0.098560433,0.359355867,0.14276648,0.466666667
108,Fall,0.118671626,0.433400479,0.108030372,0.45
110,Fall,0.099299521,0.477300164,0.122959864,0.366666667
110,Fall,0.111051241,0.503574394,0.187807005,0.4
110,Fall,0.105308923,0.511704984,0.164091515,0.4
113,Fall,0.069523001,0.346691033,0.111806508,0.466666667
113,Fall,0.061446465,0.482500752,0.154036225,0.366666667
113,Fall,0.095315163,0.320159506,0.144965323,0.25
121,Fall,0.070109342,0.544648503,0.124528043,0.4
121,Fall,0.069637777,0.416717621,0.175577001,0.316666667
121,Fall,0.04524279,0.426715277,0.152702703,0.4
132,Fall,0.092236848,0.428821779,0.128339237,0.516666667
132,Fall,0.103119025,0.44571091,0.139804042,0.366666667
132,Fall,0.105500721,0.445802065,0.183058027,0.333333333
149,Fall,0.110315533,0.507051977,0.208405702,0.433333333
149,Fall,0.08637205,0.488908584,0.130954761,0.416666667
149,Fall,0.082790008,0.44710391,0.20288684,0.45
150,Fall,0.09224352,0.329023592,0.118450099,0.416666667
150,Fall,0.097646879,0.270147573,0.175126136,0.383333333
150,Fall,0.08622401,0.32391961,0.116694661,0.366666667
157,Fall,0.114030841,0.529680678,0.189641991,0.483333333
157,Fall,0.104995606,0.426324748,0.15479782,0.466666667
157,Fall,0.1027413,0.4495694,0.1512281,0.4333333
14,Old,0.121172614,0.467228129,0.148845736,0.483333333
14,Old,0.131946719,0.384860774,0.260914462,0.533333333
14,Old,0.090837103,0.380376927,0.169430253,0.483333333
41,Old,0.099287072,0.608721708,0.131290923,0.433333333
41,Old,0.107206203,0.579904476,0.141802068,0.433333333
41,Old,0.083184478,0.515443355,0.197242988,0.266666667
42,Old,0.07796692,0.409629647,0.161150016,0.333333333
42,Old,0.068188186,0.399773337,0.158600034,0.366666667
42,Old,0.075301796,0.370189333,0.098359722,0.366666667
43,Old,0.085808473,0.488390623,0.146238996,0.5
43,Old,0.102577502,0.513504565,0.104573631,0.5
