Subject,Type,x.0.1,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,y.0.1,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,x.0.4,x.1.4,x.2.4,x.3.4,x.4.4,x.5.4,x.6.4,y.0.4,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,x.0.5,x.1.5,x.2.5,x.3.5,x.4.5,x.5.5,x.6.5,y.0.5,y.1.5,y.2.5,y.3.5,y.4.5,y.5.5,y.6.5,x.0.3,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,y.0.3,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,x.0.2,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,y.0.2,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2
4,Fall,1.882069049,0.255198372,0.794958977,0.898548754,0.657985286,0.797797264,0.447049541,1.401371781,0.073782962,0.171202344,0.577268473,0.668408792,0.298025516,0.831979576,0.070473875,0.392208295,0.100088504,0.062048505,0.034827805,0.013564543,0.007185735,0.051036539,0.458172518,0.269062547,0.076145513,0.039639335,0.029663905,0.007210264,0.454412255,0.307041964,0.078425513,0.061597646,0.035641523,0.013826811,0.007082734,0.301813617,0.289169106,0.235960978,0.061351618,0.039874396,0.029920931,0.006192791,19057.07319,390.9261351,3822.189152,4909.598819,2653.345145,4070.196485,1225.103494,11273.78879,32.67102153,175.8429836,1992.329697,2731.324987,542.1851611,3102.665964,0.216666667,1.283333333,0.383333333,0.266666667,0.166666667,0.066666667,0.033333333,0.15,1.633333333,0.916666667,0.366666667,0.183333333,0.15,0.05
4,Fall,1.552140623,0.23808464,0.351275181,0.96602334,0.736781163,0.709125552,0.264278898,1.651033582,0.088549457,0.229170147,0.733307997,0.892493861,0.357851784,0.645983629,0.066803679,0.372930404,0.140802014,0.051192641,0.033777148,0.013690319,0.01112214,0.046264826,0.439668661,0.232287293,0.066544124,0.030777544,0.018476522,0.006008868,0.411661992,0.248899022,0.121532462,0.046935215,0.032579654,0.014252056,0.008896094,0.330966228,0.28403288,0.196233978,0.05486303,0.027594732,0.01890644,0.004320657,14783.83446,339.929412,741.2351741,5655.901074,3320.049239,3132.862245,438.5880051,10576.4896,47.06422158,315.2684927,3230.769159,4899.64689,799.5480618,2826.468427,0.183333333,1.266666667,0.533333333,0.25,0.166666667,0.066666667,0.066666667,0.183333333,1.483333333,0.85,0.316666667,0.15,0.083333333,0.033333333
4,Fall,1.745444505,0.161958131,0.520085912,0.750264746,0.695221964,0.601405358,0.731350315,1.526019005,0.103758136,0.335990189,0.599708119,0.615775149,0.611605472,0.367915353,0.060301049,0.437144801,0.124309398,0.070214494,0.043528435,0.015742676,0.007964356,0.05167911,0.424386528,0.161638721,0.069977705,0.037777,0.018296346,0.007969299,0.478757158,0.302017277,0.113799235,0.071627246,0.043615829,0.014832374,0.00719889,0.460935463,0.269657053,0.137778492,0.069898851,0.038477147,0.018340999,0.007393921,18435.89163,157.4206299,1620.933098,3379.203179,2947.969263,2222.951726,3517.513236,12325.60072,64.6028294,677.6729782,2167.029362,2321.245821,2270.246416,819.1471824,0.183333333,1.4,0.433333333,0.333333333,0.2,0.066666667,0.033333333,0.166666667,1.483333333,0.633333333,0.316666667,0.183333333,0.1,0.05
49,Fall,1.541553877,0.284770889,0.428493637,0.898824533,0.814550013,0.387287307,0.747950595,1.400520372,0.141732084,0.463642271,0.804626574,0.530773418,0.320835292,0.383520841,0.129522841,0.507079449,0.285835822,0.093648955,0.054682047,0.030827762,0.007006703,0.101822341,0.440145263,0.219518664,0.096686951,0.049381504,0.027857638,0.014126493,0.550781342,0.397358336,0.269515943,0.098191347,0.053455794,0.028400811,0.006774951,0.473467983,0.308515534,0.172011448,0.087916333,0.049286928,0.028246252,0.013813172,14436.37513,486.6473291,1100.548447,4845.265898,3983.631203,918.5456751,3648.892104,10993.78781,120.6128479,1291.861431,3889.252925,1713.896031,623.3353462,862.3595009,0.316666667,1.8,1.016666667,0.433333333,0.266666667,0.15,0.033333333,0.3,1.533333333,0.75,0.433333333,0.233333333,0.15,0.066666667
49,Fall,1.550769624,0.279542187,0.622506012,0.696536796,0.704137197,0.571903826,0.582719187,1.185245423,0.136480703,0.398060024,0.566698385,0.581189463,0.448404802,0.383577172,0.103332747,0.460409313,0.138646359,0.077706727,0.046495312,0.02411516,0.009536342,0.09535987,0.408584082,0.202428748,0.090902978,0.046417306,0.020483247,0.010409483,0.484159252,0.334917954,0.120631729,0.081597973,0.046262491,0.024010999,0.00961956,0.407102667,0.290892934,0.175249885,0.084072071,0.047043228,0.016931138,0.010566011,14719.54512,469.1195055,2317.386895,2901.919307,2975.424459,1997.564772,2110.04978,8461.429052,111.8307614,950.8623314,1931.875697,2027.543549,1244.187683,949.2172977,0.233333333,1.75,0.45,0.35,0.233333333,0.116666667,0.05,0.25,1.383333333,0.666666667,0.4,0.233333333,0.116666667,0.05
49,Fall,1.640103785,0.220528524,0.406307822,0.881961232,0.812464208,0.374464388,0.785467816,1.251980983,0.140726543,0.32215559,0.711771092,0.495457729,0.642940546,0.293826164,0.089886888,0.478885522,0.250308696,0.08123202,0.037703348,0.021780004,0.007305481,0.086761617,0.440753302,0.239352243,0.079562031,0.04502221,0.022781271,0.012511619,0.50824316,0.335966088,0.223768962,0.079701298,0.039985731,0.022094015,0.006792135,0.467505365,0.302705734,0.194713958,0.077378121,0.045177989,0.021887771,0.012116228,15773.99112,291.9145927,990.5266405,4674.53064,3962.052465,861.1868158,4064.299215,9511.210836,118.8331362,623.0285124,3042.038595,1493.008229,2497.439291,541.0221495,0.216666667,1.75,0.916666667,0.366666667,0.183333333,0.1,0.033333333,0.233333333,1.516666667,0.816666667,0.366666667,0.216666667,0.116666667,0.066666667
51,Fall,1.363608303,0.256211334,0.78855615,0.688343013,0.453249029,0.420841273,0.421034526,0.821843637,0.110846018,0.374186906,0.331530719,0.3649829,0.251113695,0.317470657,0.150734322,0.53744542,0.156649913,0.098865362,0.050438858,0.024357689,0.008756329,0.111075034,0.420287903,0.175844917,0.102618999,0.04497804,0.027617307,0.012035247,0.539108069,0.45025168,0.125043804,0.096416949,0.051723848,0.021589722,0.007470841,0.367643159,0.270476459,0.165887613,0.09824245,0.045148098,0.026858348,0.012240024,11071.65317,394.0056163,3733.369359,2844.54819,1256.525693,1086.549367,990.6388559,4102.098068,73.66520178,839.1884487,659.6886161,800.4425542,384.9281882,629.7320238,0.433333333,2.033333333,0.616666667,0.45,0.216666667,0.133333333,0.05,0.316666667,1.45,0.633333333,0.483333333,0.233333333,0.133333333,0.066666667
51,Fall,1.282248352,0.3245643,0.623180236,0.540430858,0.2845697,0.282494851,0.270499715,0.827443008,0.131509267,0.198184513,0.382836792,0.488892071,0.336021024,0.183564573,0.129262855,0.43881127,0.148483296,0.082232783,0.053111266,0.019278667,0.012446682,0.091185024,0.307800272,0.230027719,0.108874727,0.047372087,0.025587734,0.009499971,0.460455917,0.337559899,0.137777479,0.08258167,0.050487856,0.019024017,0.012463697,0.251139771,0.187019073,0.183012232,0.10428467,0.048184374,0.025514174,0.009015369,9691.781766,632.4085632,2330.705073,1755.819973,485.5158755,493.7645775,461.2535236,4003.753508,103.8325583,235.7802687,879.2935857,1438.018747,688.6225917,216.712738,0.266666667,1.55,0.566666667,0.366666667,0.266666667,0.1,0.066666667,0.283333333,1.1,0.816666667,0.483333333,0.233333333,0.133333333,0.05
51,Fall,1.127844723,0.30542268,0.538908117,0.666155809,0.446773217,0.208962067,0.16890061,0.828632362,0.118820235,0.343013476,0.420840852,0.422532115,0.380642656,0.255422079,0.169078277,0.489280852,0.194331251,0.083356309,0.049322163,0.02429154,0.011755858,0.103690162,0.427430818,0.189319897,0.086316393,0.036491518,0.01843376,0.010833878,0.488349012,0.424225812,0.155448767,0.073858049,0.047509701,0.024104945,0.010140191,0.292630051,0.28679357,0.174097284,0.083864333,0.033938559,0.017590988,0.009809986,7602.35424,560.013735,1743.209961,2650.188851,1213.687451,264.8028102,177.7216236,4117.776687,84.73817646,706.1665646,1063.397878,1091.930186,892.1778619,411.4296709,0.45,1.716666667,0.7,0.383333333,0.233333333,0.133333333,0.066666667,0.3,1.433333333,0.716666667,0.383333333,0.183333333,0.1,0.05
52,Fall,1.115504514,0.337732873,0.393871967,0.716564382,0.589178112,0.413429161,0.199349079,0.762218078,0.122141015,0.276664986,0.312656176,0.414589135,0.453885562,0.276925763,0.140725385,0.386135263,0.196758624,0.075446877,0.047945804,0.021552626,0.010178923,0.096055577,0.354362819,0.155229288,0.085544317,0.039035844,0.021436041,0.009993877,0.417845101,0.292314372,0.177998375,0.072193197,0.047079083,0.020401435,0.010071323,0.216742401,0.211499408,0.109064789,0.073282019,0.035729445,0.021494025,0.01015456,7541.898514,682.8562083,931.8211679,3090.435718,2091.314916,1038.176599,246.6941663,3542.575959,89.53357473,459.555124,586.2978997,1053.567482,1253.109376,492.0205636,0.366666667,1.383333333,0.716666667,0.35,0.233333333,0.116666667,0.05,0.266666667,1.35,0.616666667,0.383333333,0.183333333,0.1,0.05
52,Fall,1.183891457,0.220161428,0.407730956,0.634944651,0.563466557,0.403872898,0.20477726,0.782490296,0.136211631,0.277488403,0.373133821,0.370986814,0.196175348,0.336472884,0.10828124,0.429915982,0.207681004,0.070799554,0.041807009,0.017289057,0.013491378,0.09346408,0.227112384,0.17152541,0.086311768,0.049355769,0.029170398,0.012968442,0.460352221,0.293179093,0.145500057,0.065043382,0.040232211,0.017057485,0.011600246,0.333018824,0.101239942,0.111200929,0.069490908,0.049773117,0.028024742,0.012100235,8574.052329,290.9572416,997.938412,2422.781672,1941.915397,1033.247482,261.4552812,3709.872348,111.3900358,462.4593551,832.2184267,824.076725,234.1206492,708.9108198,0.233333333,1.5,0.833333333,0.333333333,0.183333333,0.066666667,0.066666667,0.283333333,1.016666667,0.683333333,0.416666667,0.25,0.15,0.066666667
52,Fall,1.15125718,0.25181035,0.451536738,0.709557567,0.500860113,0.339927068,0.362328954,0.829099307,0.086475653,0.22359698,0.453152774,0.318014174,0.329856918,0.366106527,0.117475457,0.446579108,0.163942212,0.076062832,0.037623524,0.021752607,0.008601906,0.078627118,0.421193918,0.184415027,0.068119475,0.046035465,0.021418553,0.012048884,0.462092246,0.337405498,0.144456862,0.074336229,0.037408444,0.02136817,0.008125974,0.247328495,0.229783651,0.12013462,0.050857501,0.048212537,0.021358915,0.010928038,8065.542909,380.6167672,1224.235278,3018.577849,1532.407698,699.7951044,784.4755764,4197.10797,44.88860192,300.0134961,1235.105252,614.9604676,682.9544237,818.4138812,0.283333333,1.5,0.583333333,0.366666667,0.183333333,0.116666667,0.05,0.233333333,1.6,0.733333333,0.316666667,0.2,0.1,0.066666667
56,Fall,1.32652814,0.112654782,0.599987414,0.545039961,0.790831835,0.207263415,0.590086404,1.228741819,0.086852609,0.337875255,0.544661584,0.40994564,0.72518641,0.426914391,0.097660347,0.570529552,0.156235527,0.090289313,0.040054834,0.026675257,0.006907009,0.067854686,0.391214569,0.181661646,0.085107655,0.043713693,0.017881116,0.007577288,0.581958829,0.445790736,0.126662292,0.093025589,0.039350964,0.025560262,0.006559455,0.547708981,0.247791434,0.163619199,0.0849639,0.043428601,0.017711117,0.008085885,10721.9889,76.16456974,2151.211807,1784.466556,3789.862927,259.4860267,1882.968807,8585.494603,45.28580244,686.2725974,1782.137137,1029.899102,3271.040849,1201.085385,0.283333333,2.516666667,0.616666667,0.4,0.2,0.133333333,0.033333333,0.183333333,1.4,0.683333333,0.383333333,0.183333333,0.083333333,0.033333333
56,Fall,1.388621784,0.146879923,0.52606969,0.753341416,0.692460877,0.56032218,0.338948206,1.135433597,0.111890657,0.326546611,0.452774609,0.355095492,0.481626358,0.540132603,0.087177935,0.452807578,0.150548035,0.073153341,0.040941941,0.019214965,0.008030591,0.077298979,0.353743681,0.205601649,0.099998144,0.055622603,0.027564391,0.013294018,0.51158576,0.26535433,0.1097699,0.068454724,0.039775501,0.017935371,0.00558542,0.448446644,0.172461508,0.158226896,0.093083787,0.05569678,0.025138275,0.013225476,11102.45467,129.6568289,1660.4137,3453.736219,2899.901953,1890.465082,707.0037533,6514.782726,75.17175967,637.8384415,1231.889991,756.0775417,1405.001916,1864.460379,0.283333333,1.6,0.583333333,0.3,0.2,0.1,0.05,0.266666667,1.4,0.766666667,0.45,0.266666667,0.15,0.066666667
56,Fall,1.253503171,0.12222424,0.404233683,0.581618971,0.638059888,0.740257941,0.524778725,1.352196692,0.086913504,0.192761177,0.313035652,0.742485276,0.817371529,0.232311186,0.085801053,0.473017539,0.181754021,0.092612084,0.046809438,0.020272732,0.007758095,0.054530997,0.365372296,0.246740858,0.111462864,0.045404232,0.017828213,0.012801284,0.554389454,0.317386419,0.13019801,0.083541399,0.046861484,0.020160875,0.006164909,0.442197158,0.184463432,0.179034717,0.10711743,0.045236152,0.017862953,0.012923122,9598.331664,89.68593941,980.5292448,2030.000178,2409.997708,3356.576003,1817.684546,10196.38241,45.35798448,223.0425956,588.1413077,3344.078867,4131.10556,340.4324286,0.216666667,1.683333333,0.666666667,0.416666667,0.216666667,0.1,0.033333333,0.15,1.5,0.9,0.466666667,0.216666667,0.083333333,0.066666667
64,Fall,1.299901247,0.280501517,0.487485289,0.582351905,0.701382442,0.547509442,0.371206014,1.106602551,0.101603298,0.355640171,0.296628564,0.768881149,0.586225559,0.230546924,0.195895692,0.552857101,0.287094093,0.136658162,0.060582813,0.033614427,0.01620854,0.093983145,0.519810593,0.203144693,0.125744551,0.040896073,0.023584398,0.012429688,0.553853052,0.394465641,0.225466037,0.128793314,0.063135775,0.03346389,0.016303735,0.3615583,0.343401888,0.12860037,0.114189704,0.038776464,0.022870574,0.011807841,10145.81039,472.2006645,1427.099093,2040.510505,2963.31651,1788.039296,860.5242917,7447.015888,61.96120781,758.5748563,528.6843773,3617.20435,1983.842437,330.5741705,0.416666667,2.483333333,0.966666667,0.6,0.283333333,0.183333333,0.083333333,0.216666667,2.183333333,0.816666667,0.516666667,0.2,0.133333333,0.066666667
64,Fall,1.293530783,0.303710733,0.461640734,0.47717318,0.563418383,0.393506367,0.541054911,1.155523265,0.088040344,0.337203109,0.279245673,0.697727459,0.624328911,0.384583054,0.200129327,0.548929518,0.302181794,0.150766267,0.064190674,0.03403191,0.013274349,0.09162916,0.573679093,0.195255515,0.147876,0.042833506,0.027729086,0.018422356,0.560246877,0.439983359,0.263023151,0.143431926,0.065948012,0.034551966,0.012690185,0.335338824,0.440243454,0.146639765,0.134741813,0.043338613,0.029399756,0.018538907,10022.86718,553.82111,1279.351057,1368.141521,1911.739161,938.9281189,1850.481622,8073.883644,46.51056373,683.9143721,468.0723979,2959.976489,2405.409776,867.2154243,0.333333333,2.316666667,1.033333333,0.6,0.283333333,0.166666667,0.066666667,0.183333333,2.55,0.783333333,0.6,0.2,0.133333333,0.1
64,Fall,1.607012322,0.263720168,0.419658543,0.499024586,0.51104308,0.896816464,0.694784865,1.286335646,0.234992455,0.361110431,0.536306694,0.656790463,0.822251488,0.704954315,0.130795597,0.530209567,0.292628518,0.146666117,0.066419011,0.025204996,0.012616377,0.084131922,0.211709884,0.199369397,0.085144414,0.039501159,0.019936288,0.012431448,0.551287032,0.379221523,0.240138253,0.138688073,0.067183259,0.024848021,0.011776594,0.358078178,0.133812264,0.125565568,0.074463247,0.040774753,0.019740216,0.00944406,15203.39844,417.293369,1057.104445,1497.001297,1574.691343,4874.666736,3119.90731,9797.603037,330.8580834,782.9480695,1714.639987,2616.952179,4031.590034,2902.049058,0.2,2.366666667,1,0.616666667,0.316666667,0.133333333,0.05,0.216666667,0.85,0.833333333,0.383333333,0.183333333,0.1,0.066666667
72,Fall,1.014012363,0.157349593,0.370842505,0.687572022,0.460192778,0.367988004,0.346767614,0.946093259,0.113054067,0.356915806,0.568620597,0.411016278,0.34024778,0.305300605,0.147951013,0.594213489,0.266487132,0.075728303,0.047968773,0.025037755,0.014410288,0.136224999,0.553030275,0.239516019,0.111535699,0.069422436,0.031831437,0.015187279,0.608596069,0.55183642,0.26400316,0.075333075,0.049508521,0.024885391,0.012929391,0.551860133,0.445328573,0.195594256,0.102642579,0.069787157,0.031771277,0.015340982,6254.038494,148.5975277,824.8233852,2833.295579,1284.647539,825.243272,715.0770528,5128.519419,76.71064179,764.7184723,1941.5534,1012.324331,691.8050874,588.372308,0.333333333,2.683333333,0.966666667,0.333333333,0.233333333,0.133333333,0.083333333,0.383333333,2.05,0.8,0.483333333,0.35,0.166666667,0.066666667
72,Fall,1.003537305,0.19230659,0.418388367,0.63584991,0.446125002,0.289611839,0.109606993,0.811978567,0.141441893,0.409498756,0.422811466,0.423391299,0.223050197,0.276915548,0.161497522,0.534192416,0.252889127,0.088885647,0.039901473,0.02278298,0.010583485,0.153083933,0.43250132,0.198819277,0.10194525,0.056698235,0.033571943,0.017568785,0.563125247,0.386677024,0.191425946,0.088070474,0.039441397,0.021364404,0.010464409,0.484039351,0.278614197,0.149007288,0.08394357,0.055990494,0.033585055,0.016306969,5901.155569,221.9508362,1051.794844,2427.621211,1223.662511,513.4073049,77.50490324,3889.092371,120.0787067,1001.927561,1072.487942,1086.387027,302.8586353,469.2970895,0.4,2.25,0.9,0.4,0.166666667,0.1,0.05,0.433333333,1.5,0.683333333,0.433333333,0.25,0.166666667,0.083333333
