Subject,Type,x.0.1,y.0.1,x.0.4,y.0.4,x.0.5,y.0.5,x.0.3,y.0.3,x.0.2,y.0.2
4,Fall,0.779681701,0.328188437,0.053482071,0.069186357,0.581018297,0.516694107,3766.512955,654.56988,0.15,0.266666667
4,Fall,0.858738868,0.344144816,0.036918112,0.046845297,0.606928589,0.571300814,3091.300106,353.4579308,0.133333333,0.25
4,Fall,0.813078183,0.206088767,0.03851376,0.073630736,0.582070293,0.54848284,1955.183746,209.6418766,0.166666667,0.266666667
49,Fall,0.592071533,0.445244698,0.132482796,0.097377641,0.568870642,0.45662958,2130.348091,828.4468591,0.333333333,0.266666667
49,Fall,0.547852212,0.470609786,0.162133797,0.093145508,0.568500812,0.407248653,1584.773166,708.912188,0.383333333,0.283333333
49,Fall,0.460346674,0.331565355,0.153743918,0.088042006,0.517680948,0.296382182,1272.368865,492.0517643,0.333333333,0.3
51,Fall,1.017825319,0.193608927,0.032117311,0.075113826,0.441477865,0.293724107,4040.524093,196.162206,0.066666667,0.2
51,Fall,0.691428849,0.219442142,0.052870917,0.085294375,0.552359326,0.425770404,2620.872511,292.6152794,0.1,0.2
51,Fall,0.647602813,0.290366476,0.048729125,0.067647362,0.51997859,0.445637483,2581.297919,516.5570048,0.1,0.2
52,Fall,0.319806565,0.180544146,0.061702551,0.052908,0.574180101,0.44749965,325.5977011,201.5707447,0.216666667,0.116666667
52,Fall,0.546725088,0.285155741,0.037382006,0.044015276,0.591150089,0.606310532,1047.788964,313.2688064,0.133333333,0.133333333
52,Fall,0.373487463,0.182797969,0.056574362,0.072988894,0.615741201,0.636550522,851.4251704,170.8634277,0.15,0.216666667
56,Fall,0.534975878,0.457486695,0.079217071,0.064212647,0.391088602,0.226581318,1440.714106,1013.359801,0.116666667,0.1
56,Fall,0.585756424,0.544330622,0.050457623,0.028753976,0.465782882,0.349348099,1996.375325,1311.238641,0.1,0.066666667
56,Fall,0.667073565,0.682643045,0.04780743,0.018501366,0.557507493,0.380842616,1743.312229,1542.217659,0.15,0.066666667
64,Fall,0.481931658,0.166742634,0.095185269,0.103288109,0.357936484,0.161928261,1403.361159,147.3713462,0.133333333,0.366666667
64,Fall,0.586478482,0.189415252,0.051315753,0.078585053,0.558382955,0.465860432,1353.511975,207.1447387,0.133333333,0.166666667
64,Fall,0.491579411,0.188075337,0.052824401,0.080342779,0.609151155,0.571370759,1467.217349,214.4648487,0.116666667,0.15
72,Fall,0.297007058,0.123831007,0.126840503,0.109237209,0.489332066,0.203508267,484.4182794,89.50104261,0.2,0.216666667
72,Fall,0.225655718,0.281927502,0.168672464,0.092168432,0.610451527,0.499073657,300.1908696,253.7146696,0.366666667,0.3
72,Fall,0.244796938,0.176240863,0.140452929,0.130598531,0.597912345,0.484432308,326.4268507,181.2145646,0.283333333,0.333333333
75,Fall,0.527014919,0.32450924,0.091011854,0.046542512,0.533892866,0.250899737,1258.772052,367.0436703,0.233333333,0.15
75,Fall,0.32299246,0.29326796,0.145894458,0.074524944,0.567488628,0.335720832,623.8997861,325.2168807,0.333333333,0.216666667
75,Fall,0.363305748,0.248731506,0.116960408,0.108157433,0.548125134,0.439974072,772.88401,263.743174,0.2,0.3
78,Fall,0.830522647,0.310066114,0.057496507,0.093256775,0.48470046,0.317832727,2117.12717,347.0208254,0.133333333,0.283333333
78,Fall,0.97966817,0.598618266,0.057148557,0.037360641,0.457189545,0.222114682,5679.997913,1076.905946,0.066666667,0.066666667
78,Fall,0.956418432,0.320662635,0.078200163,0.082353918,0.350880987,0.112286865,3342.597063,407.3733483,0.116666667,0.266666667
79,Fall,0.292115947,0.181903965,0.126743634,0.13066415,0.650936829,0.597595449,517.8362847,129.2455758,0.4,0.716666667
