Subject,Type,RMSD.copx.IMF3,ApEn.copx.IMF1,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copy.IMF1,ApEn.copy.IMF2,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,POWER.copx.IMF3,MF.copx.IMF3,MF.copx.IMF4,MF.copy.IMF2
4,Fall,0.228609944,0.399606835,0.098565857,0.057040699,0.459568027,0.099839026,0.581018297,0.280264704,0.091736047,0.054764244,0.516694107,0.373185759,0.043986718,314.7307456,0.416666667,0.266666667,0.45
4,Fall,0.201444582,0.547682556,0.098368162,0.060734757,0.627759521,0.143411945,0.606928589,0.468803728,0.086170025,0.061437319,0.571300814,0.5785379,0.056571886,243.8265305,0.433333333,0.3,0.683333333
4,Fall,0.268630458,0.497976802,0.083397722,0.035951451,0.639454512,0.151817,0.582070293,0.392601763,0.075456563,0.032601694,0.54848284,0.591334239,0.068744706,432.9753417,0.383333333,0.183333333,0.583333333
49,Fall,0.281868441,0.461704748,0.09993766,0.049964415,0.258559149,0.251357073,0.568870642,0.28523579,0.092808048,0.05022423,0.45662958,0.093001689,0.229696092,477.0599349,0.45,0.216666667,0.866666667
49,Fall,0.275174579,0.448819733,0.128309681,0.050795859,0.309129838,0.289133501,0.568500812,0.267631677,0.126054738,0.051358563,0.407248653,0.130978076,0.251506308,457.6526225,0.5,0.216666667,1.016666667
49,Fall,0.219975968,0.370186464,0.103992257,0.060633807,0.37876746,0.279699605,0.517680948,0.190277616,0.099414814,0.062496731,0.296382182,0.249391107,0.20915678,288.6678948,0.45,0.3,1.016666667
51,Fall,0.138714798,0.314163401,0.126648273,0.06350104,0.60038826,0.319050313,0.441477865,0.125879085,0.122175483,0.062311891,0.293724107,0.534694186,0.202687319,115.5753993,0.533333333,0.316666667,1.166666667
51,Fall,0.213479511,0.391873385,0.103928338,0.05890421,0.276476901,0.241663607,0.552359326,0.212853918,0.096404136,0.057273052,0.425770404,0.17698498,0.142928451,273.5364881,0.466666667,0.3,0.916666667
51,Fall,0.163853277,0.382579471,0.084685342,0.035541075,0.455761921,0.202533511,0.51997859,0.190537908,0.075829614,0.033440518,0.445637483,0.346720904,0.127619494,161.962283,0.366666667,0.15,0.733333333
52,Fall,0.072850959,0.36052952,0.141780377,0.059011346,0.656683684,0.38589314,0.574180101,0.234836907,0.128593906,0.059358493,0.44749965,0.606834708,0.297457536,31.70735438,0.583333333,0.266666667,1.183333333
52,Fall,0.112636244,0.484057626,0.102959543,0.035379924,0.654680072,0.366942519,0.591150089,0.409973366,0.097693646,0.035556074,0.606310532,0.610097745,0.255468091,76.49588153,0.4,0.166666667,1.266666667
52,Fall,0.062534733,0.497179944,0.164286774,0.055136212,0.661386609,0.25647641,0.615741201,0.414885553,0.149357588,0.052554073,0.636550522,0.623500782,0.151852543,23.48055104,0.633333333,0.233333333,0.833333333
56,Fall,0.135008239,0.139780289,0.140955512,0.073521924,0.111598786,0.221153695,0.391088602,0.073380449,0.132802485,0.069700645,0.226581318,0.018658267,0.110189171,109.4037095,0.566666667,0.333333333,0.9
56,Fall,0.169571151,0.262516299,0.091571679,0.049215374,0.601729691,0.224588619,0.465782882,0.173204422,0.07846755,0.04892075,0.349348099,0.524529555,0.117522677,172.7203572,0.416666667,0.233333333,0.883333333
56,Fall,0.165030704,0.348072279,0.097473076,0.051044316,0.581808874,0.217112853,0.557507493,0.270869998,0.071863547,0.049269752,0.380842616,0.511224464,0.091678088,164.3457665,0.416666667,0.216666667,0.933333333
64,Fall,0.118917404,0.154024533,0.139010246,0.059698049,0.648290087,0.16650832,0.357936484,0.09335679,0.114656354,0.061154948,0.161928261,0.596811895,0.089650926,84.93873949,0.516666667,0.266666667,0.583333333
64,Fall,0.123257177,0.496533491,0.113508586,0.052683277,0.630440514,0.206236454,0.558382955,0.371218644,0.097967839,0.052634478,0.465860432,0.575686252,0.140064285,91.15874428,0.483333333,0.266666667,0.8
64,Fall,0.165978947,0.538882289,0.082045129,0.037948775,0.562787334,0.222463544,0.609151155,0.413894093,0.066940106,0.035767638,0.571370759,0.503044224,0.134708013,164.9683085,0.366666667,0.166666667,0.833333333
72,Fall,0.102969214,0.337087146,0.125064248,0.050821745,0.647207851,0.303323317,0.489332066,0.191999406,0.118027906,0.053387528,0.203508267,0.595153415,0.189835844,63.63364816,0.483333333,0.233333333,0.95
72,Fall,0.112637227,0.503952598,0.135568419,0.071315554,0.281056583,0.277958644,0.610451527,0.373983317,0.133047431,0.071307349,0.499073657,0.165915817,0.201102039,76.35539473,0.533333333,0.3,0.916666667
72,Fall,0.066710075,0.466887134,0.184949174,0.071706911,0.591612999,0.263663635,0.597912345,0.285284405,0.179635412,0.075229522,0.484432308,0.514958469,0.159544378,26.71535639,0.716666667,0.333333333,1.033333333
75,Fall,0.252133967,0.374603934,0.099066654,0.077514388,0.584324476,0.241974891,0.533892866,0.264279739,0.092985459,0.073821501,0.250899737,0.519402033,0.159648288,385.8463949,0.366666667,0.35,0.85
75,Fall,0.142927629,0.387404014,0.112863239,0.06516656,0.312616723,0.276929267,0.567488628,0.24731751,0.106530657,0.061165694,0.335720832,0.199967358,0.202201727,123.0665903,0.433333333,0.316666667,1.05
75,Fall,0.133934313,0.416047671,0.120047788,0.066907332,0.25128904,0.205955664,0.548125134,0.258593814,0.118010846,0.064817458,0.439974072,0.06136119,0.176919946,107.7100304,0.516666667,0.333333333,0.716666667
78,Fall,0.158081069,0.287920721,0.107206931,0.03433021,0.117568706,0.207457223,0.48470046,0.137182607,0.109487059,0.033615438,0.317832727,0.018934786,0.115556727,150.3047245,0.466666667,0.166666667,0.816666667
78,Fall,0.143856012,0.355825038,0.118847393,0.044937891,0.178909506,0.252834489,0.457189545,0.177283178,0.103327899,0.046268884,0.222114682,0.082794844,0.184508751,123.8303146,0.533333333,0.2,0.883333333
78,Fall,0.244129437,0.300279909,0.063691932,0.030198049,0.14839005,0.263484365,0.350880987,0.125329301,0.064265505,0.030078427,0.112286865,0.040721319,0.190627864,360.6946919,0.283333333,0.133333333,0.916666667
79,Fall,0.153934016,0.594629763,0.100434398,0.065918649,0.071975568,0.196717861,0.650936829,0.526447665,0.091015557,0.066369211,0.597595449,0.032488282,0.073778207,142.7126685,0.416666667,0.333333333,0.866666667
79,Fall,0.159895303,0.638507797,0.086425311,0.049577697,0.592605907,0.180241076,0.692474158,0.589685336,0.073042959,0.049495214,0.666837281,0.532489971,0.09298932,154.5722799,0.3,0.216666667,0.683333333
79,Fall,0.138665599,0.619388034,0.087463814,0.046368463,0.631955187,0.272642276,0.700831597,0.559161711,0.07483542,0.046887077,0.61996766,0.576757144,0.182235314,115.9872032,0.366666667,0.2,0.95
81,Fall,0.141713997,0.245810068,0.09988245,0.045041346,0.121707064,0.204108363,0.236918074,0.088726669,0.098080816,0.044199168,0.078976083,0.036769185,0.05846529,120.5634183,0.45,0.2,0.933333333
81,Fall,0.163167373,0.218463469,0.107537555,0.049518909,0.166671116,0.192865092,0.350185484,0.077785135,0.097882408,0.049299134,0.292465819,0.028816959,0.147401612,159.844952,0.5,0.25,0.75
81,Fall,0.125863197,0.299177082,0.109297034,0.05285641,0.113194973,0.200954997,0.416661798,0.130581123,0.098196604,0.053720865,0.162840346,0.042437744,0.12785244,95.1149316,0.45,0.216666667,0.816666667
82,Fall,0.179839427,0.165738251,0.106749516,0.056417493,0.040385651,0.185800353,0.326312818,0.040625068,0.101106355,0.042097583,0.139353672,0.007434543,0.094222399,194.1490288,0.45,0.266666667,0.766666667
82,Fall,0.115642211,0.333705622,0.115330911,0.057998747,0.653812355,0.140086329,0.610266497,0.231943697,0.115980777,0.059320706,0.466498837,0.61072408,0.062830628,80.34496431,0.483333333,0.266666667,0.633333333
82,Fall,0.18028595,0.124913808,0.100920328,0.06190143,0.420040462,0.189211616,0.305010625,0.021700256,0.09287845,0.061710844,0.217536545,0.354136279,0.09084797,194.7568326,0.45,0.3,0.766666667
85,Fall,0.222892498,0.343112462,0.129819856,0.057255916,0.271048223,0.258938274,0.424818532,0.194147192,0.126459355,0.058267174,0.161604903,0.123543992,0.176061331,297.5647513,0.583333333,0.266666667,0.916666667
85,Fall,0.274392151,0.322408595,0.111734138,0.0585977,0.109148727,0.216382248,0.44180101,0.177758537,0.106406299,0.058681416,0.200465465,0.030486097,0.152050194,450.2898198,0.5,0.283333333,0.8
