Subject,Type,RMSD.copx.IMF2,RMSD.copy.IMF5,RMSD.copy.IMF6,ApEn.copx.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,SampEn.copy.IMF5,SampEn.copy.IMF7,POWER.copy.IMF5,POWER.copy.IMF6,MF.copy.IMF4,MF.copy.IMF5
4,Fall,0.488419124,0.451573846,0.22667486,0.171391697,0.051816746,0.027062351,0.022016524,0.006071001,1243.013863,312.3403903,0.25,0.133333333
4,Fall,0.523239161,0.809271732,0.227795152,0.114061452,0.038016938,0.012849023,0.013158442,0,3900.863209,324.828647,0.183333333,0.05
4,Fall,0.527354903,0.479201159,0.847876947,0.135839874,0.04006183,0.017845141,0.017951869,0,1393.68343,4903.974477,0.2,0.1
49,Fall,0.616218752,0.423402164,0.378030946,0.163538069,0.056757916,0.025473023,0.025252455,0.003946322,1093.57583,869.3375507,0.266666667,0.133333333
49,Fall,0.489701213,0.362819991,0.262502311,0.17956344,0.055319964,0.024556878,0.023785098,0.003856528,801.0284537,435.758653,0.266666667,0.116666667
49,Fall,0.446317318,0.281072789,0.121439339,0.174243929,0.051346329,0.022306025,0.023719433,0.002009699,482.6165975,94.67132829,0.25,0.116666667
51,Fall,0.500204236,0.230526398,0.209598144,0.176686335,0.045046967,0.02082594,0.021575264,0,329.0944711,278.6945566,0.216666667,0.1
51,Fall,0.341826571,0.216730909,0.427350052,0.228340707,0.040923575,0.029114046,0.026523558,0,287.1793535,1125.592395,0.183333333,0.15
51,Fall,0.429869929,0.57404115,0.368103044,0.166957468,0.037856876,0.015706367,0.015730551,0,2072.529071,756.8767301,0.2,0.083333333
52,Fall,0.604883048,0.333665797,0.453803588,0.176984052,0.055462636,0.017683152,0.018447971,0.002990684,699.1426544,1104.896713,0.266666667,0.083333333
52,Fall,0.338719931,0.285112054,0.150979732,0.208527205,0.058882363,0.018810427,0.016876637,0.005023455,503.6100765,142.1467146,0.283333333,0.116666667
52,Fall,0.503200232,0.196218477,0.205630852,0.155160307,0.048057345,0.021569705,0.021815305,0.003191265,232.6841314,268.2388951,0.233333333,0.116666667
56,Fall,0.187249708,0.337345995,0.63355384,0.228171855,0.042031528,0.026986817,0.026999455,0.007304899,691.062852,2274.543726,0.2,0.133333333
56,Fall,0.253693624,0.393708274,0.644517504,0.20518294,0.042625371,0.018225965,0.015799953,0.003864686,930.4980794,2633.228569,0.216666667,0.1
56,Fall,0.255327593,0.465819177,0.177214824,0.234515005,0.035634309,0.020495204,0.019963926,0.001677239,1332.611199,194.6570841,0.166666667,0.1
64,Fall,0.417342735,0.421135049,0.513487168,0.336740044,0.056344795,0.020040065,0.020118457,0,1088.752703,1690.770661,0.266666667,0.083333333
64,Fall,0.39517063,0.419374463,0.493981026,0.292170288,0.054239965,0.032209583,0.02785453,0.007056478,1066.420978,1555.339339,0.266666667,0.166666667
64,Fall,0.300961093,0.814500748,0.436888675,0.374258677,0.053272978,0.020438879,0.020971081,0.00838232,4179.752932,1119.194269,0.266666667,0.083333333
72,Fall,0.406555398,0.18235757,0.204408771,0.238357864,0.055997821,0.032386894,0.033904748,0,204.2065074,257.1919361,0.25,0.15
72,Fall,0.558929783,0.187044046,0.219231978,0.207892179,0.062618104,0.039893689,0.037304752,0.010854522,211.3766903,288.8341607,0.316666667,0.2
72,Fall,0.394331412,0.204145739,0.234568651,0.306484318,0.067864091,0.033813,0.034521851,0.005026142,250.6811801,348.6854297,0.316666667,0.183333333
75,Fall,0.33380002,0.336294593,0.307754678,0.225257067,0.03920254,0.024028176,0.023066118,0,692.712264,554.3533936,0.183333333,0.116666667
75,Fall,0.333455966,0.374106767,0.238275889,0.22408982,0.058306347,0.0296044,0.028855576,0.005054953,849.8267722,336.2581894,0.283333333,0.133333333
