Subject,Type,x.0.1,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,y.0.1,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,x.0.4,x.1.4,x.2.4,x.3.4,x.4.4,x.5.4,x.6.4,y.0.4,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,x.0.5,x.1.5,x.2.5,x.3.5,x.4.5,x.5.5,x.6.5,y.0.5,y.1.5,y.2.5,y.3.5,y.4.5,y.5.5,y.6.5,x.0.3,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,y.0.3,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,x.0.2,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,y.0.2,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2
4,Fall,1.156850771,0.152973177,0.488419124,0.459183325,0.384947841,0.447246728,0.463395342,0.958115739,0.042844567,0.229615606,0.277510654,0.404700754,0.451573846,0.22667486,0.105010014,0.543001194,0.171391697,0.089656625,0.047503994,0.014811929,0.005213962,0.065391051,0.567541004,0.176126726,0.109813405,0.051816746,0.027062351,0.011597023,0.57667812,0.477472955,0.147778104,0.090399573,0.047804973,0.014950192,0.004426429,0.427499605,0.437903007,0.141015304,0.100140495,0.050635406,0.022016524,0.011437222,8191.601451,140.4407691,1435.177192,1265.916605,886.3412448,1250.989238,1466.85433,3988.159663,11.01231413,316.2746768,462.4351949,991.7621905,1243.013863,312.3403903,0.233333333,2.05,0.65,0.416666667,0.25,0.083333333,0.033333333,0.233333333,2.55,0.583333333,0.483333333,0.25,0.133333333,0.066666667
4,Fall,1.40719296,0.194969236,0.523239161,0.672953388,0.391713192,0.239934597,0.470823533,1.201145182,0.077480982,0.357632744,0.515737546,0.388124809,0.809271732,0.227795152,0.064297984,0.390315063,0.114061452,0.052468726,0.037011995,0.017870017,0.007129491,0.051615106,0.394593891,0.106964241,0.065985303,0.038016938,0.012849023,0.009368232,0.423317318,0.311824866,0.106235751,0.051040832,0.036972345,0.016122392,0.006520067,0.353273758,0.214043108,0.074043023,0.063973689,0.037615738,0.013158442,0.008627942,12039.36409,228.1981412,1639.350004,2754.875665,937.8459408,360.3177873,1232.690105,7983.345717,36.03741927,767.8877986,1597.494059,896.8896149,3900.863209,324.828647,0.166666667,1.316666667,0.466666667,0.233333333,0.166666667,0.083333333,0.033333333,0.166666667,1.5,0.466666667,0.316666667,0.183333333,0.05,0.05
4,Fall,1.562337572,0.163159888,0.527354903,0.90479586,0.559922125,0.556656949,0.924047736,1.624167969,0.120455289,0.597777564,0.944234744,0.609555067,0.479201159,0.847876947,0.069397182,0.452647702,0.135839874,0.067249357,0.036552419,0.018765593,0.007106414,0.053514989,0.365633384,0.078012238,0.057260338,0.04006183,0.017845141,0.005233144,0.489244749,0.317189795,0.109478802,0.06091189,0.037474152,0.018980339,0.006970253,0.433128538,0.237352925,0.059403841,0.051804659,0.040845463,0.017951869,0.004679745,13150.94647,159.6431966,1658.871173,4915.443323,1917.755478,1847.551456,4731.709155,15082.6447,87.10592634,2178.158134,5431.70483,2256.505338,1393.68343,4903.974477,0.216666667,1.633333333,0.516666667,0.333333333,0.166666667,0.1,0.033333333,0.166666667,0.733333333,0.266666667,0.25,0.2,0.1,0.033333333
49,Fall,1.386813737,0.230259922,0.616218752,0.546660238,0.5128237,0.477722409,0.396662663,0.937028937,0.12723288,0.389287542,0.379566546,0.340619957,0.423402164,0.378030946,0.104355731,0.440899162,0.163538069,0.096017896,0.039093436,0.02116736,0.015256758,0.103408585,0.398818231,0.174478916,0.099653909,0.056757916,0.025473023,0.011640532,0.506943399,0.33300061,0.13269908,0.087742977,0.040214116,0.019635865,0.014855639,0.436524508,0.253011778,0.130461722,0.096027766,0.057555727,0.025252455,0.011203757,11315.55146,318.2128984,2277.454345,1789.404996,1608.327249,1436.953662,977.4451158,4938.1183,97.15307496,909.8569273,865.1615168,699.6412525,1093.57583,869.3375507,0.283333333,1.366666667,0.65,0.45,0.183333333,0.083333333,0.083333333,0.3,1.433333333,0.633333333,0.45,0.266666667,0.133333333,0.066666667
49,Fall,1.284966335,0.204262902,0.489701213,0.756696502,0.651212125,0.347978679,0.158595459,0.964591585,0.130580131,0.240239544,0.515992708,0.431962127,0.362819991,0.262502311,0.110140636,0.490781798,0.17956344,0.078806898,0.040620063,0.017491802,0.015872099,0.099693574,0.413403114,0.250317094,0.101882924,0.055319964,0.024556878,0.010765822,0.533191545,0.390492282,0.154454477,0.079054981,0.040951062,0.01346934,0.015443298,0.459886132,0.254750756,0.21029763,0.100504048,0.053808167,0.023785098,0.010757021,9728.714883,250.2918285,1441.036703,3438.576776,2588.515558,711.283551,155.3862651,5541.289946,102.3107375,346.1559592,1600.142807,1119.105038,801.0284537,435.758653,0.333333333,1.8,0.666666667,0.383333333,0.183333333,0.1,0.083333333,0.266666667,1.433333333,0.8,0.45,0.266666667,0.116666667,0.05
49,Fall,1.188732974,0.268952615,0.446317318,0.524278483,0.759548422,0.56660674,0.401062683,0.827208052,0.113756059,0.254103242,0.388991439,0.516690764,0.281072789,0.121439339,0.115874028,0.35218575,0.174243929,0.094882576,0.043376582,0.02724133,0.010058377,0.111521111,0.443004332,0.2545107,0.113059764,0.051346329,0.022306025,0.011946388,0.452747921,0.250007188,0.141331514,0.092081944,0.039780361,0.025492064,0.009945777,0.374705589,0.318711842,0.208710236,0.109915643,0.050824019,0.023719433,0.011161522,8480.717322,434.0920693,1195.634313,1649.302027,3532.493165,1952.766204,1020.139795,4115.003203,77.60664857,387.8244725,908.5721085,1600.004652,482.6165975,94.67132829,0.316666667,1.133333333,0.6,0.433333333,0.2,0.133333333,0.05,0.3,1.5,0.916666667,0.5,0.25,0.116666667,0.05
51,Fall,0.938965934,0.166846001,0.500204236,0.557128382,0.314225201,0.26784957,0.270455649,0.683013122,0.094908004,0.221101244,0.310834884,0.303528219,0.230526398,0.209598144,0.141760488,0.510451561,0.176686335,0.090899764,0.052377676,0.0272415,0.012232969,0.091060131,0.367379592,0.192798811,0.084252693,0.045046967,0.02082594,0.009949212,0.536241572,0.401596837,0.14985262,0.089908112,0.050787479,0.026698456,0.011594815,0.397550239,0.210591827,0.161766503,0.082351637,0.046009725,0.021575264,0.010127626,5317.79198,167.0874455,1503.097639,1862.662674,594.453158,427.2271369,466.0838464,2695.847067,54.06790479,293.2748956,573.2977172,550.4337726,329.0944711,278.6945566,0.416666667,1.8,0.633333333,0.416666667,0.25,0.133333333,0.066666667,0.25,1.266666667,0.716666667,0.4,0.216666667,0.1,0.05
51,Fall,1.039973712,0.173901235,0.341826571,0.646737595,0.27935137,0.160800296,0.253062745,0.775619259,0.100545976,0.218649339,0.307870662,0.408743028,0.216730909,0.427350052,0.1097962,0.464011518,0.228340707,0.075205586,0.052921696,0.031790425,0.014046045,0.082341131,0.357788022,0.192647333,0.098246343,0.040923575,0.029114046,0.01177277,0.520653558,0.350713997,0.18893792,0.073468697,0.049062704,0.030526672,0.012882576,0.379255616,0.16056118,0.157887571,0.093527943,0.041728774,0.026523558,0.010776666,5915.714246,181.5124868,700.1631716,2516.199444,469.489608,157.2615562,402.1013235,3374.365947,60.67456252,286.9517082,566.5880917,1018.659182,287.1793535,1125.592395,0.283333333,1.533333333,0.783333333,0.35,0.25,0.15,0.066666667,0.25,1.333333333,0.7,0.433333333,0.183333333,0.15,0.066666667
51,Fall,1.155049893,0.213043179,0.429869929,0.405166193,0.441147085,0.504997515,0.321887444,0.953617668,0.098716801,0.230123033,0.268495406,0.401491542,0.57404115,0.368103044,0.096520066,0.419987182,0.166957468,0.097497771,0.046575232,0.022815949,0.008528211,0.061665147,0.405634201,0.191209842,0.085509937,0.037856876,0.015706367,0.005860708,0.479883461,0.331465205,0.16074873,0.090039293,0.04589182,0.020006171,0.008029727,0.307543052,0.252103232,0.163738823,0.084731305,0.034975212,0.015730551,0.005140481,8103.569109,272.3811305,1107.149572,985.1991877,1185.097117,1545.062848,655.09854,5571.933585,58.48775563,317.7753336,435.0971163,976.3152852,2072.529071,756.8767301,0.216666667,1.333333333,0.583333333,0.45,0.216666667,0.133333333,0.05,0.116666667,1.45,0.716666667,0.366666667,0.2,0.083333333,0.033333333
52,Fall,1.038585828,0.199285544,0.604883048,0.488753256,0.338869102,0.26767927,0.252380844,0.921130655,0.209754591,0.505037363,0.367309736,0.237530014,0.333665797,0.453803588,0.142919396,0.431811209,0.176984052,0.106086721,0.059315827,0.022997877,0.010947714,0.11915659,0.293401207,0.154446143,0.095801209,0.055462636,0.017683152,0.006489497,0.540436712,0.322341147,0.147513326,0.09890792,0.058353647,0.022333139,0.01057153,0.475076265,0.175389518,0.122792949,0.096949968,0.052578027,0.018447971,0.006270778,6544.706914,237.3727324,2195.050643,1433.343884,689.3340747,427.8126323,406.7070696,5071.646731,264.0805339,1531.012668,810.8281428,340.665671,699.1426544,1104.896713,0.4,1.366666667,0.716666667,0.483333333,0.3,0.133333333,0.05,0.35,0.983333333,0.65,0.433333333,0.266666667,0.083333333,0.033333333
