Subject,Type,x.0.1,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,y.0.1,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,x.0.4,x.1.4,x.2.4,x.3.4,x.4.4,x.5.4,x.6.4,y.0.4,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,x.0.5,x.1.5,x.2.5,x.3.5,x.4.5,x.5.5,x.6.5,y.0.5,y.1.5,y.2.5,y.3.5,y.4.5,y.5.5,y.6.5,x.0.3,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,y.0.3,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,x.0.2,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,y.0.2,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2
4,Fall,0.546120902,0.023556418,0.05841211,0.203947573,0.173329032,0.220507222,0.197500607,0.26545443,0.005093044,0.048210259,0.119401144,0.124686058,0.110762066,0.100679215,0.051915953,0.376300527,0.331376714,0.078581245,0.059218472,0.027119775,0.015280818,0.061279615,0.638849783,0.164063175,0.086165069,0.04890286,0.026870962,0.013035762,0.565327599,0.257313187,0.255343184,0.072821727,0.058727175,0.024941048,0.014317045,0.523305367,0.583694507,0.08836592,0.082594413,0.046056353,0.027043754,0.010510958,1454.065507,3.330486207,20.48466162,252.9582665,180.5813641,289.9413565,238.3797399,389.7916139,0.155681268,13.95564368,85.52923123,94.11724596,76.04406961,61.05200892,0.183333333,1.566666667,1.133333333,0.3,0.283333333,0.133333333,0.083333333,0.216666667,4.233333333,0.633333333,0.383333333,0.233333333,0.116666667,0.066666667
4,Fall,0.676337958,0.021126418,0.136221936,0.409560494,0.388477319,0.192679933,0.272708472,0.333282661,0.016091291,0.033535604,0.192420522,0.24377855,0.104001009,0.131867005,0.056458077,0.487513431,0.163368069,0.058677152,0.042729083,0.024120976,0.009112249,0.057974433,0.308351634,0.199570936,0.060960777,0.044288955,0.025640348,0.0111747,0.589272945,0.343909492,0.127701724,0.037491546,0.043802781,0.023907171,0.00892819,0.546258623,0.25339195,0.1400179,0.038246896,0.043858798,0.02399334,0.011173744,2397.09664,2.678930511,111.8140402,1008.267389,922.2430395,228.1730451,415.947719,677.1927059,1.558164433,6.801483719,222.1306496,362.050962,66.16428323,107.0334503,0.216666667,2.016666667,0.5,0.283333333,0.2,0.116666667,0.05,0.233333333,0.933333333,0.566666667,0.316666667,0.2,0.133333333,0.05
4,Fall,0.811619148,0.035007768,0.098870822,0.589553008,0.28028487,0.220660942,0.188473091,0.305912712,0.00688937,0.055102491,0.177667731,0.149679991,0.122421525,0.144828513,0.059149272,0.475813675,0.257180021,0.061886064,0.047856898,0.022064195,0.011781486,0.068686286,0.611068713,0.197712537,0.074079344,0.052782911,0.028168568,0.012531404,0.575667497,0.296795628,0.211500533,0.062041921,0.046661955,0.022598645,0.012127682,0.456100869,0.530873376,0.0950605,0.052260653,0.044183723,0.026917016,0.011884012,3926.35744,7.354444279,58.68146698,2086.588082,467.7292375,303.6287895,221.4396279,567.7674332,0.284728336,18.23788893,189.5196892,134.6906123,89.84444319,129.5566292,0.216666667,1.8,0.9,0.3,0.233333333,0.1,0.066666667,0.25,2.65,0.85,0.333333333,0.266666667,0.133333333,0.066666667
49,Fall,0.569245027,0.160491534,0.297554974,0.228837897,0.163344988,0.189023417,0.261588509,0.373111998,0.082090874,0.111626692,0.131768063,0.104280086,0.106826518,0.1668325,0.166767655,0.324761782,0.23390308,0.124189976,0.055290907,0.029183299,0.012523055,0.117739906,0.201570387,0.282522972,0.136862277,0.071234342,0.036804259,0.010502539,0.488805492,0.181392483,0.192300569,0.119004125,0.049936629,0.029707906,0.012751055,0.279375778,0.083187007,0.219254593,0.132004035,0.072616489,0.037605848,0.010822917,1816.518374,154.6921928,531.7290572,313.9873249,158.8771919,204.9705334,433.7097492,602.1717752,40.42358186,74.83297633,103.7540667,65.24641288,70.04150882,180.5814475,0.483333333,1.133333333,0.866666667,0.533333333,0.266666667,0.15,0.066666667,0.3,1.216666667,0.983333333,0.583333333,0.333333333,0.166666667,0.05
49,Fall,0.572327706,0.12550609,0.214206204,0.178193365,0.203818463,0.153279403,0.256889289,0.378145385,0.051657309,0.08925795,0.110954401,0.095467517,0.090690472,0.064165083,0.133195993,0.352409799,0.235269566,0.148489462,0.067557033,0.033784206,0.011216365,0.092527329,0.357319615,0.305555865,0.129746678,0.079669627,0.034034774,0.020478721,0.492578146,0.165174211,0.212475382,0.127548352,0.066817829,0.034345683,0.011092362,0.308315993,0.18384375,0.25118396,0.125749778,0.079526892,0.032505967,0.018419725,1567.149426,94.51948238,275.3016009,190.4968219,249.1490994,144.0317111,421.4609278,580.8541855,16.01322072,47.81916432,73.92560303,54.71429974,49.95335052,24.92393678,0.366666667,1.5,0.833333333,0.616666667,0.316666667,0.166666667,0.066666667,0.183333333,1.516666667,1.083333333,0.55,0.383333333,0.166666667,0.116666667
49,Fall,0.604744582,0.166313438,0.204862209,0.221755648,0.230595992,0.207770296,0.338701277,0.734165264,0.059772794,0.112605288,0.169150498,0.136687297,0.10123061,0.090040834,0.141377386,0.380098099,0.248810586,0.124329874,0.048681038,0.024501634,0.00818992,0.051811446,0.337933473,0.292849755,0.109023159,0.057202814,0.028396885,0.014259164,0.451870143,0.188128422,0.207620692,0.109895899,0.04691805,0.024371915,0.008092379,0.247240976,0.195378229,0.260540712,0.094108532,0.050507021,0.024976186,0.013719649,2087.781322,166.0372709,251.6292092,295.7167802,324.111842,264.9935438,757.4168434,1233.336729,21.44484409,76.15339079,171.7539115,112.2432831,62.09890846,50.03397016,0.25,1.483333333,0.833333333,0.55,0.216666667,0.116666667,0.033333333,0.15,1.283333333,1,0.45,0.283333333,0.15,0.083333333
51,Fall,1.016306251,0.072099703,0.151603118,0.16292243,0.1631776,0.141473419,0.563405154,0.293886832,0.052035565,0.071590632,0.068602135,0.104695396,0.09112696,0.208407362,0.034903345,0.212664514,0.214156311,0.095667549,0.040539072,0.022845774,0.004756352,0.079976964,0.222354833,0.208027414,0.141963101,0.061936513,0.030889755,0.011374393,0.455085152,0.096240318,0.158285767,0.091150539,0.042200282,0.021740899,0.003778783,0.344018284,0.061257641,0.158496048,0.139887683,0.059723614,0.031692739,0.008881714,6252.798912,31.16528232,137.7659768,159.1777257,164.4008076,120.0275534,1738.428225,522.7998423,16.25154248,30.74395011,28.26408687,65.78856377,50.57446411,275.3694828,0.033333333,0.933333333,0.8,0.383333333,0.15,0.1,0.033333333,0.15,1.083333333,0.65,0.55,0.283333333,0.15,0.05
51,Fall,0.444330118,0.050777271,0.104194665,0.14036345,0.157595516,0.204783857,0.159640375,0.317238482,0.008790125,0.049152052,0.044895793,0.079594988,0.142733874,0.067544983,0.062738039,0.189178099,0.211139383,0.091793713,0.052754667,0.024693938,0.00985328,0.042484943,0.527074837,0.254476567,0.132791286,0.053770599,0.024010281,0.013004919,0.509832854,0.088061261,0.172302278,0.086727222,0.05391163,0.025298536,0.009934055,0.297378295,0.439752383,0.19173082,0.131191838,0.053349148,0.024242407,0.012739133,1204.684626,15.50192763,64.95221037,118.2970752,149.0008451,254.4655171,166.4741073,566.4861591,0.463650525,14.45113076,12.11624308,38.03460157,124.8587228,27.88218199,0.133333333,0.9,0.766666667,0.416666667,0.25,0.133333333,0.05,0.083333333,1.766666667,0.9,0.533333333,0.266666667,0.116666667,0.066666667
51,Fall,1.366633342,0.062423258,0.102149357,0.158988549,0.178463827,0.245582649,0,0.371855669,0.025156198,0.048373458,0.055051873,0.110782494,0.135301133,0.106937775,0.023262196,0.290212512,0.256461077,0.089912061,0.050103023,0.024474487,0,0.050899612,0.332543475,0.321701686,0.149640176,0.053162981,0.027103491,0.016478301,0.444566386,0.099660531,0.233223909,0.0841194,0.051294695,0.023706006,0,0.327654102,0.182744966,0.241241971,0.139083892,0.050787476,0.027539334,0.016104683,9384.314953,23.38443493,62.62087999,151.8820109,194.3229322,370.2139983,0,866.3141901,3.797127429,14.04486498,18.19060386,73.65932984,111.9022883,70.26519037,0.05,1.3,0.916666667,0.4,0.233333333,0.116666667,0,0.1,1.333333333,1.133333333,0.616666667,0.25,0.133333333,0.083333333
52,Fall,0.270175563,0.022369859,0.065383141,0.132146256,0.088364673,0.195500027,0.057013048,0.180581592,0.004531065,0.032836829,0.047844379,0.074992895,0.052739063,0.042933256,0.089134814,0.373870381,0.242033593,0.104956479,0.07092813,0.033997678,0.013969041,0.066321981,0.656320498,0.215698494,0.137045714,0.067107068,0.030647938,0.020313705,0.567789206,0.269210011,0.143001569,0.067657164,0.070067365,0.034028243,0.014508955,0.499944041,0.609611994,0.117340106,0.116787404,0.062308534,0.029594008,0.020029063,427.8495511,3.003138557,25.6575715,105.083284,46.9116782,230.3521874,20.28749518,83.63521598,0.123216715,6.474289329,13.72707062,33.83011659,16.54304072,11.27565508,0.216666667,1.583333333,0.9,0.5,0.333333333,0.166666667,0.066666667,0.283333333,5.6,0.8,0.55,0.316666667,0.166666667,0.116666667
